Obs Type,Source,Species,Depth
Specimen/Lot,NMNH,Bathypolypus bairdii,265
Specimen/Lot,NMNH,Bathypolypus bairdii,751
Specimen/Lot,NMNH,Bathypolypus bairdii,403
Specimen/Lot,NMNH,Bathypolypus bairdii,575
Specimen/Lot,MCZ,"	Bathypolypus",
Specimen/Lot,MCZ,"	Bathypolypus",
Specimen/Lot,MCZ,"	Bathypolypus",
Specimen/Lot,MCZ,"	Bathypolypus",
Specimen/Lot,MCZ,"	Bathypolypus",
Specimen/Lot,MCZ,"	Bathypolypus",
Specimen/Lot,MCZ,"	Bathypolypus",
Specimen/Lot,MCZ,"	Bathypolypus",
Specimen/Lot,MCZ,"	Bathypolypus",
Specimen/Lot,MCZ,"	Bathypolypus",
Specimen/Lot,MCZ,"	Bathypolypus",
Specimen/Lot,MCZ,"	Bathypolypus",
Specimen/Lot,MCZ,"	Bathypolypus",
Specimen/Lot,MCZ,"	Bathypolypus",
Specimen/Lot,MCZ,"	Bathypolypus",
Specimen/Lot,MCZ,"	Bathypolypus",
Specimen/Lot,MCZ,"	Bathypolypus",
Specimen/Lot,MCZ,"	Bathypolypus",
Specimen/Lot,MCZ,"	Bathypolypus",
Specimen/Lot,MCZ,"	Bathypolypus",
Specimen/Lot,MCZ,"	Bathypolypus",
Specimen/Lot,MCZ,"	Bathypolypus",
Specimen/Lot,MCZ,"	Bathypolypus",
Specimen/Lot,MCZ,"	Bathypolypus",
Specimen/Lot,MCZ,"	Bathypolypus	bairdii",
Specimen/Lot,MCZ,"	Bathypolpus bairdii",
Specimen/Lot,MCZ,"	Bathypolypus	bairdii",
Specimen/Lot,MCZ,"	Bathypolypus	bairdii",
Specimen/Lot,MCZ,"	Bathypolypus	bairdii",
Specimen/Lot,MCZ,"	Bathypolypus	bairdii",
Specimen/Lot,MCZ,"	Bathypolypus	bairdii",
Specimen/Lot,MCZ,"	Bathypolypus	bairdii",
Specimen/Lot,MCZ,"	Bathypolypus	bairdii",
Specimen/Lot,MCZ,"	Bathypolypus	bairdii",
Specimen/Lot,MCZ,"	Bathypolypus	bairdii",
Specimen/Lot,MCZ,"	Bathypolypus	bairdii",
Specimen/Lot,MCZ,"	Bathypolypus	bairdii",
Specimen/Lot,MCZ,"	Bathypolypus	bairdii",
Specimen/Lot,MCZ,"	Bathypolypus	bairdii",
Specimen/Lot,MCZ,"	Bathypolypus	bairdii",
Specimen/Lot,MCZ,"	Bathypolypus	bairdii",
Specimen/Lot,MCZ,"	Bathypolypus	bairdii",
Specimen/Lot,MCZ,"	Bathypolypus	bairdii",
Specimen/Lot,MCZ,"	Bathypolypus	bairdii",
Specimen/Lot,MCZ,"	Bathypolypus	bairdii",
Specimen/Lot,MCZ,"	Bathypolypus	bairdii",
Specimen/Lot,MCZ,"	Bathypolypus	bairdii",
Specimen/Lot,MCZ,"	Bathypolypus	bairdii",
Specimen/Lot,MCZ,"	Bathypolypus	bairdii",
Specimen/Lot,MCZ,"	Bathypolypus	bairdii",
Specimen/Lot,MCZ,"	Bathypolypus	bairdii",
Specimen/Lot,MCZ,"	Bathypolypus	bairdii",
Specimen/Lot,MCZ,"	Bathypolypus	bairdii",
Specimen/Lot,MCZ,"	Bathypolypus	bairdii",
Specimen/Lot,MCZ,"	Bathypolypus	bairdii",
Specimen/Lot,MCZ,"	Bathypolypus	bairdii",
Specimen/Lot,MCZ,"	Bathypolypus	bairdii",
Specimen/Lot,MCZ,"	Bathypolypus	bairdii",
Specimen/Lot,MCZ,"	Bathypolypus	bairdii",
Specimen/Lot,MCZ,"	Bathypolypus	bairdii",
Specimen/Lot,MCZ,"	Bathypolypus	bairdii",
Specimen/Lot,MCZ,"	Bathypolypus	bairdii",
Specimen ,Miami,Bathypolypus bairdii,389.5
Specimen ,Miami,Bathypolypus bairdii,389.5
Specimen ,Miami,Bathypolypus bairdii,
Specimen ,Miami,Bathypolypus bairdii,
Specimen ,Miami,Bathypolypus bairdii,
Specimen ,Miami,Bathypolypus bairdii,347
Specimen ,Miami,Bathypolypus bairdii,347
Specimen ,Miami,Bathypolypus bairdii,347
Specimen ,Miami,Bathypolypus bairdii,347
Specimen ,Miami,Bathypolypus bairdii,347
Specimen ,Miami,Bathypolypus bairdii,347
Specimen ,Miami,Bathypolypus bairdii,347
Specimen ,Miami,Bathypolypus bairdii,347
Specimen ,Miami,Bathypolypus bairdii,347
Specimen ,Miami,Bathypolypus bairdii,347
Specimen ,Miami,Bathypolypus bairdii,347
Specimen ,Miami,Bathypolypus bairdii,347
Specimen ,Miami,Bathypolypus bairdii,256
Specimen ,Miami,Bathypolypus bairdii,219
Specimen ,Miami,Bathypolypus bairdii,219
Specimen ,Miami,Bathypolypus bairdii,219
Specimen ,Miami,Bathypolypus bairdii,
Specimen ,Miami,Bathypolypus bairdii,347.5
Specimen ,Miami,Bathypolypus bairdii,347.5
Specimen ,Miami,Bathypolypus bairdii,347.5
Specimen ,Miami,Bathypolypus bairdii,347.5
Specimen ,Miami,Bathypolypus bairdii,
Specimen ,Miami,Bathypolypus bairdii,293
Specimen ,Miami,Bathypolypus bairdii,293
Specimen ,Miami,Bathypolypus bairdii,
Specimen ,Miami,Bathypolypus bairdii,225
Specimen ,Miami,Bathypolypus bairdii,225
Specimen ,Miami,Bathypolypus bairdii,411
Specimen ,Miami,Bathypolypus bairdii,411
Specimen ,Miami,Bathypolypus bairdii,416
Specimen ,Miami,Bathypolypus bairdii,416
Specimen ,Miami,Bathypolypus bairdii,366
Specimen ,Miami,Bathypolypus bairdii,219
Specimen ,Miami,Bathypolypus bairdii,219
Specimen ,Miami,Bathypolypus bairdii,219
Specimen ,Miami,Bathypolypus bairdii,219
Specimen ,Miami,Bathypolypus bairdii,219
Specimen ,Miami,Bathypolypus bairdii,219
Specimen ,Miami,Bathypolypus bairdii,219
Specimen ,Miami,Bathypolypus bairdii,219
Specimen ,Miami,Bathypolypus bairdii,219
Specimen ,Miami,Bathypolypus bairdii,347
Specimen ,Miami,Bathypolypus bairdii,347
Specimen ,Miami,Bathypolypus bairdii,347
Specimen ,Miami,Bathypolypus bairdii,347
Specimen ,Miami,Bathypolypus bairdii,347
Specimen ,Miami,Bathypolypus bairdii,
Specimen ,Miami,Bathypolypus bairdii,
Specimen ,Miami,Bathypolypus bairdii,
Specimen ,Miami,Bathypolypus bairdii,
Specimen ,Miami,Bathypolypus bairdii,
Specimen ,Miami,Bathypolypus bairdii,
Specimen ,Miami,Bathypolypus bairdii,
Specimen ,Miami,Bathypolypus bairdii,
Specimen ,Miami,Bathypolypus bairdii,1000
Specimen ,Miami,Bathypolypus bairdii,1000
Specimen ,Miami,Bathypolypus bairdii,1000
Specimen ,Miami,Bathypolypus bairdii,329
Specimen ,Miami,Bathypolypus bairdii,
Specimen ,Miami,Bathypolypus bairdii,464
Specimen ,Miami,Bathypolypus bairdii,
Specimen ,Miami,Bathypolypus bairdii,256
Specimen ,Miami,Bathypolypus bairdii,369
Specimen ,Miami,Bathypolypus bairdii,369
Specimen ,Miami,Bathypolypus bairdii,293
Specimen ,Miami,Bathypolypus bairdii,293
Specimen ,Miami,Bathypolypus bairdii,293
Specimen ,Miami,Bathypolypus bairdii,293
Specimen ,Miami,Bathypolypus bairdii,293
Specimen ,Miami,Bathypolypus bairdii,293
Specimen ,Miami,Bathypolypus bairdii,293
Specimen ,Miami,Bathypolypus bairdii,293
Specimen ,Miami,Bathypolypus bairdii,293
Specimen ,Miami,Bathypolypus bairdii,293
Specimen ,Miami,Bathypolypus bairdii,293
Specimen ,Miami,Bathypolypus bairdii,293
Specimen ,Miami,Bathypolypus bairdii,293
Specimen ,Miami,Bathypolypus bairdii,293
Specimen ,Miami,Bathypolypus bairdii,293
Specimen ,Miami,Bathypolypus bairdii,293
Specimen ,Miami,Bathypolypus bairdii,293
Specimen ,Miami,Bathypolypus bairdii,293
Specimen ,Miami,Bathypolypus bairdii,293
Specimen ,Miami,Bathypolypus bairdii,293
Specimen ,Miami,Bathypolypus bairdii,293
Specimen ,Miami,Bathypolypus bairdii,293
Specimen ,Miami,Bathypolypus bairdii,293
